kode_prov,nama_prov,kode_cab,nama_cab,kode_kec,nama_kec,kode_kel,nama_kel,kode_tps,nama_tps,sumPartai,sumPartaiVotesAndCaleg,selisih,partai
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,0,2488,2488,PSI
35,JAWA TIMUR,3514,PASURUAN,351401,PURWODADI,3514012010,TAMBAK SARI,3514012010006,TPS 006,0,2440,2440,Partai Ummat
35,JAWA TIMUR,3514,PASURUAN,351405,PASREPAN,3514052007,AMPEL SARI,3514052007012,TPS 012,37,2345,2308,PKB
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,0,2316,2316,PKN
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,0,2300,2300,PBB
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,0,2272,2272,Partai Buruh
33,JAWA TENGAH,3307,WONOSOBO,330708,KERTEK,3307082012,TLOGODALEM,3307082012003,TPS 003,46,2271,2225,PPP
32,JAWA BARAT,3214,PURWAKARTA,321406,DARANGDAN,3214062015,NAGRAK,3214062015019,TPS 019,0,2252,2252,PPP
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,72,2004,1932,PAN
18,LAMPUNG,1802,LAMPUNG TENGAH,180212,SEPUTIH SURABAYA,1802122002,SUMBER KATON,1802122002011,TPS 011,29,1989,1960,Golkar
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,26,1987,1961,Nasdem
33,JAWA TENGAH,3313,KARANGANYAR,331316,KERJO,3313162005,PLOSOREJO,3313162005004,TPS 004,20,1983,1963,Demokrat
12,SUMATERA UTARA,1215,PAKPAK BHARAT,121508,SIEMPAT RUBE,1215082006,TRAJU,1215082006001,TPS 001,0,1890,1890,Partai Ummat
35,JAWA TIMUR,3514,PASURUAN,351401,PURWODADI,3514012002,DAWUHANSENGON,3514012002009,TPS 009,15,1873,1858,PKB
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,0,1872,1872,Nasdem
35,JAWA TIMUR,3521,NGAWI,352113,MANTINGAN,3521132001,SAMBIREJO,3521132001916,TPS 916,0,1864,1864,PKN
35,JAWA TIMUR,3514,PASURUAN,351401,PURWODADI,3514012002,DAWUHANSENGON,3514012002009,TPS 009,1,1820,1819,Partai Garuda
32,JAWA BARAT,3202,SUKABUMI,320228,CICANTAYAN,3202282005,CIMAHI,3202282005010,TPS 010,8,1817,1809,PDIP
31,DKI JAKARTA,3173,KOTA ADM. JAKARTA BARAT,317308,KEMBANGAN,3173081004,SRENGSENG,3173081004008,TPS 008,41,1815,1774,PKS
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,87,1807,1720,PDIP
32,JAWA BARAT,3206,TASIKMALAYA,320619,JATIWARAS,3206192002,SETIAWANGI,3206192002011,TPS 011,20,1796,1776,PKB
16,SUMATERA SELATAN,1607,BANYUASIN,160706,RAMBUTAN,1607062007,BARU,1607062007002,TPS 002,11,1790,1779,PKB
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,0,1776,1776,PBB
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,0,1776,1776,Partai Garuda
33,JAWA TENGAH,3305,KEBUMEN,330519,GOMBONG,3305192004,PANJANGSARI,3305192004006,TPS 006,0,1768,1768,Partai Gelora
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,0,1760,1760,Partai Buruh
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,54,1755,1701,Nasdem
35,JAWA TIMUR,3517,JOMBANG,351711,SUMOBITO,3517112004,PLEMAHAN,3517112004003,TPS 003,24,1719,1695,PKB
33,JAWA TENGAH,3305,KEBUMEN,330519,GOMBONG,3305192004,PANJANGSARI,3305192004006,TPS 006,0,1688,1688,Partai Buruh
33,JAWA TENGAH,3305,KEBUMEN,330519,GOMBONG,3305192004,PANJANGSARI,3305192004006,TPS 006,6,1687,1681,PKS
35,JAWA TIMUR,3517,JOMBANG,351719,JOGOROTO,3517192006,MAYANGAN,3517192006004,TPS 004,26,1674,1648,Gerindra
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,1672,1672,PERINDO
33,JAWA TENGAH,3329,BREBES,332908,WANASARI,3329082019,TEGALGANDU,3329082019017,TPS 017,54,1660,1606,PKB
33,JAWA TENGAH,3376,KOTA TEGAL,337603,TEGAL SELATAN,3376031008,RANDUGUNTING,3376031008027,TPS 027,17,1660,1643,PAN
35,JAWA TIMUR,3502,PONOROGO,350213,BADEGAN,3502132001,DAYAKAN,3502132001001,TPS 001,7,1631,1624,PKB
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,1,1628,1627,Hanura
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,9,1628,1619,PKB
35,JAWA TIMUR,3514,PASURUAN,351401,PURWODADI,3514012002,DAWUHANSENGON,3514012002009,TPS 009,55,1618,1563,Gerindra
33,JAWA TENGAH,3307,WONOSOBO,330708,KERTEK,3307082012,TLOGODALEM,3307082012003,TPS 003,5,1618,1613,Gerindra
35,JAWA TIMUR,3516,MOJOKERTO,351611,PURI,3516112014,TAMBAKAGUNG,3516112014014,TPS 014,0,1608,1608,PERINDO
33,JAWA TENGAH,3310,KLATEN,331011,CEPER,3310112008,JOMBOR,3310112008007,TPS 007,5,1605,1600,PKB
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,1,1604,1603,Partai Garuda
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022015,CILEDUG LOR,3209022015010,TPS 010,67,1487,1420,PDIP
